Id_bien;Cod_depcom;No_voie;Btq;Type_voie;Voie;Code_postal;Com_ad;Surface_Carrez;Type_local;Nb_pieces;Surface_terrain
28743;33281;18;;RUE;DE GUIRAUTON;33700;MERIGNAC;48.02;Appartement;2;
28744;33318;11;;ALL;DES TULIPES;33600;PESSAC;33.65;Appartement;2;
28745;34333;9045;F;RES;LES CABROLS;34110;VIC-LA-GARDIOLE;37.13;Maison;3;
28746;35284;29;;GR;GRANDE RUE;35430;SAINT-JOUAN-DES-GUERETS;75.27;Appartement;2;
28747;35360;36;;BD;DE CHATEAUBRIANT;35500;VITRE;29.79;Appartement;1;
28748;37132;24;B;AV;ARISTIDE BRIAND;37600;LOCHES;48;Appartement;2;
28749;37261;70;;RUE;NERICAULT DESTOUCHES;37000;TOURS;34.97;Appartement;2;
28750;38061;190;;PL;DE LA MAIRIE;38500;LA BUISSE;49.7;Appartement;2;
28751;38185;5;;RUE;VOLTAIRE;38000;GRENOBLE;160.66;Appartement;4;
28752;38185;1;;RUE;ERNEST RENAN;38100;GRENOBLE;75.71;Appartement;4;
28753;38185;21;;AV;MARCELIN BERTHELOT;38100;GRENOBLE;20.58;Appartement;1;
28754;38186;88;;IMP;PERCE NEIGE;38650;GRESSE-EN-VERCORS;63.14;Appartement;3;
28755;39300;160;;RUE;REGARD;39000;LONS LE SAUNIER;106;Appartement;4;
28756;39300;77;;RUE;SIMONE WEIL;39000;LONS LE SAUNIER;62.5;Appartement;3;
28757;40001;11;;RUE;PAUL DUTHIL;40800;AIRE-SUR-L'ADOUR;69.65;Appartement;3;
28758;40046;185;;AV;GABRIELE  D ANNUNZIO;40600;BISCARROSSE;37.61;Appartement;2;
28759;40088;33;;RUE;DE LA CROIX BLANCHE;40100;DAX;32.36;Appartement;1;
28760;40192;257;;RUE;RENEE DARRIET;40000;MONT-DE-MARSAN;42.96;Appartement;2;
28761;41018;63;;RUE;DENIS PAPIN;41000;BLOIS;49.37;Appartement;2;
28762;42187;10;;BD;BARON DU MARAIS;42300;ROANNE;41.35;Appartement;1;
28763;42218;26;;RUE;VISITATION;42000;SAINT-ETIENNE;57.61;Appartement;1;
28764;44055;44;;BD;DOCTEUR RENE DUBOIS;44500;LA BAULE-ESCOUBLAC;60.7;Appartement;3;
28765;44109;6;;RUE;GAMBETTA;44000;NANTES;27.65;Appartement;5;
28766;44109;25;;RUE;CHANOINE LAROSE;44100;NANTES;66.51;Appartement;2;
28767;44184;23;;RUE;COMMANDANT CHARCOT;44600;SAINT-NAZAIRE;25.35;Appartement;2;
28768;45004;12;;RUE;PIERRE BROSSOLETTE;45200;AMILLY;44.89;Appartement;2;
28769;45234;3;;RUE;DES CLOCHES ST PAUL;45000;ORLEANS;46.08;Appartement;2;
28770;45284;13;;PL;DE LA COMMUNE;45800;ST JEAN DE BRAYE;47.68;Appartement;2;
28771;45298;56;B;RTE;DE ST MESMIN;45750;SAINT-PRYVE-SAINT-MESMIN;29.36;Appartement;1;
28772;50099;11;;RUE;HOLGATE;50500;CARENTAN LES MARAIS;33.36;Appartement;2;
28773;51108;9;;RUE;DU GENERAL EDMOND BUAT;51000;CHALONS EN CHAMPAGNE;85.78;Appartement;4;
28774;51108;43;;RUE;DE FAGNIERES;51000;CHALONS EN CHAMPAGNE;50.23;Appartement;2;
28775;51230;2;;QUAI;DE L ILE BELON;51200;EPERNAY;98.89;Appartement;4;
28776;51454;4;;RUE;DU BASTION;51100;REIMS;22.9;Appartement;1;
28777;54439;9;;RUE;D ALSACE;54425;PULNOY;94.95;Appartement;5;
28778;54549;123;;RUE;GABRIEL PERI;54110;VARANGEVILLE;37;Appartement;2;
28779;56078;7484;;RES;LE MAEVA;56520;GUIDEL;38.4;Appartement;2;
28780;59014;1;;RUE;F FERRER BAT CHENE;59410;ANZIN;72.4;Appartement;3;
28781;59350;32;;AV;DU PEUPLE BELGE;59800;LILLE;89.98;Appartement;5;
28782;59350;19;;RUE;DU PLAT;59800;LILLE;50.03;Appartement;3;
28783;60159;4;;RUE;DU DOCTEUR CALMETTE;60200;COMPIEGNE;79.68;Appartement;4;
28784;60159;45;;RUE;SAINT GERMAIN;60200;COMPIEGNE;46.79;Appartement;2;
28785;60463;2;;RUE;GAMBETTA;60180;NOGENT SUR OISE;16.06;Appartement;1;
28786;60695;3;;RUE;POISSONNIERE;60500;VINEUIL ST FIRMIN;78.78;Appartement;4;
28787;62041;31;;RUE;D AMIENS;62000;ARRAS;56.35;Appartement;2;
28788;64445;32;;AV;FEDERICO GARCIA LORCA;64000;PAU;85.68;Appartement;3;
28789;66037;11;;AV;DE LA MEDITERRANEE;66140;CANET EN ROUSSILLON;25.77;Appartement;1;
28790;69007;5;;AV;DU CHATEAU;69420;AMPUIS;111.5;Maison;5;
28791;69034;11;;RUE;JEAN MOULIN;69300;CALUIRE ET CUIRE;61.94;Appartement;3;
28792;69034;9;;CHE;DE PLAIN VALLON;69300;CALUIRE ET CUIRE;27.17;Appartement;1;
28793;69202;27;;CHE;DES FONDS;69110;SAINTE FOY LES LYON;64.27;Appartement;2;
28794;69259;12;B;AV;D OSCHATZ;69200;VENISSIEUX;39.65;Appartement;2;
28795;69264;787;;RUE;JEAN BAPTISTE MARTINI;69400;VILLEFRANCHE;69.95;Appartement;3;
28796;69266;111;;RUE;DU QUATRE AOUT;69100;VILLEURBANNE;90.28;Appartement;3;
28797;69271;39;;RTE;DE LYON;69680;CHASSIEU;83.2;Appartement;4;
28798;69282;17;;RUE;JEAN-LOUIS BARRAULT;69330;MEYZIEU;49.73;Appartement;2;
28799;69282;7;;ALL;DES CEDRES;69330;MEYZIEU;61.63;Appartement;2;
28800;69381;34;;RUE;TABLES CLAUDIENNES;69001;LYON 1ER;70.55;Appartement;3;
28801;69383;45;;RUE;VILLEROY;69003;LYON 3EME;64.45;Appartement;3;
28802;69383;17;;RUE;PFR RENE GUILLET;69003;LYON 3EME;88.09;Appartement;4;
28803;69384;69;;RUE;HENRI GORJUS;69004;LYON 4EME;63.21;Appartement;2;
28804;69384;6;;RUE;DE LA CORNICHE;69004;LYON 4EME;223.43;Maison;2;
28805;69386;34;;BD;DES BROTTEAUX;69006;LYON 6EME;46.48;Appartement;2;
28806;69386;74;;RUE;BOSSUET;69006;LYON 6EME;18.02;Appartement;1;
28807;69388;66;;BD;JEAN VINGT TROIS;69008;LYON 8EME;81.6;Appartement;4;
28808;69389;40;;QUAI;PIERRE SCIZE;69009;LYON 9EME;61.76;Appartement;2;
28809;72299;31;;RES;JEANNE D ARC;72220;SAINT MARS D OUTILLE;64.65;Maison;3;
28810;74010;2;;RUE;DES NOISETIERS;74960;ANNECY;5.6;Appartement;4;
28811;74010;23;;COTE;PERRIERE;74000;ANNECY;35.63;Appartement;1;
28812;74012;5;;CLOS;DU CEDRE BLEU;74100;ANNEMASSE;44.14;Appartement;2;
28813;74012;32;;AV;DE LA GARE;74100;ANNEMASSE;37.81;Appartement;1;
28814;74014;9002;;;FLAINE;74300;ARACHES LA FRASSE;56.32;Appartement;3;
28815;74134;785;;RUE;DU CENTRE;74260;LES GETS;31.14;Appartement;2;
28816;74160;138;;RTE;DE LA CAPIEU;74230;MANIGOD;22.19;Appartement;2;
28817;75103;76;;RUE;DE TURENNE;75003;PARIS 03;21.3;Appartement;1;
28818;75107;29;;RUE;PIERRE LEROUX;75007;PARIS 07;56.85;Appartement;3;
